RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,source
Felicia Spencer,Zarah Fairn,-870.0,585.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,FEMALE,3,1,0,0,0.51,0.4,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,145,1,0,0,3.26,0.51,0.8,0.82,0.1,1,1,4,0,0,0,0,0,1,0,1,Orthodox,167.64,172.72,145,29,33,0,0,-1,-1,0,-3,0,0,-1,5.08,10.16,-4,-2.75,-0.8,-0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,3:37,217.0,historical
Ion Cutelaba,Magomed Ankalaev,185.0,-225.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Light Heavyweight,MALE,3,0,3,0,3.32,0.56,0.0,0.69,0.33,3,1,10,0,0,0,1,2,0,0,3,Orthodox,190.5,190.5,205,0,1,0,5.27,0.39,0.0,2.62,0.71,2,3,14,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,26,27,0,2,1,-1,2,-4,0,-1,0,5.08,0.0,-1,-1.95,0.0,-1.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,0:38,38.0,historical
Megan Anderson,Norma Dumont,-245.0,205.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,1,0,1.8,0.46,0.6,0.64,0.5,1,2,6,0,0,0,0,1,1,0,2,Orthodox,182.88,182.88,145,30,29,0,-1,-1,-2,2,-6,0,-1,-1,-12.7,-12.7,1,-1.8,-0.6,-0.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punch,1.0,3:31,211.0,historical
Grant Dawson,Darrick Minner,-475.0,380.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,6.85,0.54,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,0,2,0,3.76,0.46,2.1,5.23,0.45,2,0,5,0,0,0,1,0,1,0,2,Switch,177.8,182.88,145,26,29,0,-2,-2,-2,0,-5,0,0,-1,-7.62,-5.08,-3,3.09,-2.1,-5.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Rear Naked Choke,2.0,1:38,398.0,historical
Gabriel Silva,Kyler Phillips,-130.0,110.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,18.26,0.56,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,179.0,135,1,0,0,0.53,0.5,0.0,1.0,0.16,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,180.34,135,25,24,1,0,0,0,1,-3,0,0,0,5.08,-1.34,1,17.73,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Brendan Allen,Tom Breese,110.0,-130.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,3.85,0.49,0.3,0.0,0.0,3,1,9,0,0,0,1,3,0,0,4,Southpaw,190.5,185.42,185,0,1,0,2.0,0.53,6.2,3.74,0.42,1,0,2,0,0,0,0,0,1,0,1,Orthodox,187.96,190.5,185,24,28,0,0,2,3,-1,7,0,3,-1,2.54,-5.08,-4,1.85,-5.9,-3.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,4:47,287.0,historical
Luis Pena,Steve Garcia,-270.0,230.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,8.89,0.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,155,1,0,0,3.7,0.45,1.0,1.25,0.31,2,2,13,0,0,0,1,1,1,0,3,Southpaw,190.5,190.5,155,26,27,1,0,-2,-3,2,-13,0,-1,-1,-7.62,0.0,-1,5.19,-1.0,-1.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Marcin Tybura,Serghei Spivac,100.0,-120.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Heavyweight,MALE,3,0,1,0,2.65,0.53,1.6,9.93,0.75,1,1,3,0,0,0,0,0,1,0,1,Orthodox,190.5,198.12,260,2,0,0,3.61,0.51,0.1,1.48,0.61,3,5,25,0,0,0,2,2,0,0,4,Orthodox,190.5,198.12,249,34,35,2,1,-2,-3,4,-22,0,-2,1,0.0,0.0,-1,-0.96,1.5,8.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Jordan Griffin,TJ Brown,-135.0,115.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,3.31,0.47,1.2,5.78,0.71,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,182.88,145,2,0,0,3.15,0.46,1.8,0.44,0.25,0,2,6,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,145,30,29,2,0,0,0,2,-6,0,0,0,-2.54,-2.54,1,0.16,-0.6,5.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Guillotine Choke,2.0,3:38,518.0,historical
Aalon Cruz,Spike Carlyle,-190.0,165.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,180.34,145,0,0,0,9.04,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,30,26,0,0,0,0,0,0,0,0,0,-12.7,-17.78,4,-9.04,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,1:25,85.0,historical
Sean Brady,Ismail Naurdiev,105.0,-125.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,3.4,0.56,0.3,1.67,0.83,1,1,9,0,0,0,2,0,0,0,2,Orthodox,177.8,187.96,170,0,1,0,7.93,0.56,0.0,2.0,0.66,1,0,3,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,170,27,23,0,0,0,1,-1,6,0,0,0,0.0,5.08,4,-4.53,0.3,-0.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Paul Felder,Dan Hooker,130.0,-150.0,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Lightweight,MALE,5,0,2,0,4.73,0.44,0.4,0.4,0.33,4,4,29,0,0,0,1,6,2,0,9,Switch,182.88,190.5,155,0,2,0,3.55,0.43,0.3,0.29,0.27,3,4,33,0,0,2,2,4,1,0,9,Orthodox,180.34,177.8,155,35,30,0,0,1,0,0,-4,0,2,1,2.54,12.7,5,1.18,0.1,0.11,7.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,Red,S-DEC,No Finish,5.0,5:00,1500.0,historical
Brad Riddell,Magomed Mustafaev,120.0,-140.0,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,MALE,3,0,1,0,3.11,0.57,0.7,0.0,0.0,2,1,7,0,0,0,0,3,0,0,3,Orthodox,172.72,180.34,155,0,1,0,6.07,0.59,0.0,1.0,1.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,180.34,155,28,31,0,0,1,2,-1,4,0,3,0,2.54,0.0,-3,-2.96,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,S-DEC,No Finish,3.0,5:00,900.0,historical
Kevin Aguilar,Zubaira Tukhugov,-115.0,-105.0,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Featherweight,MALE,3,0,0,1,2.28,0.35,0.0,3.03,0.56,3,1,13,0,0,1,1,1,0,0,3,Orthodox,172.72,172.72,145,1,0,0,3.78,0.36,0.0,0.25,0.5,2,1,9,0,0,0,2,0,0,0,2,Orthodox,170.18,185.42,145,31,29,1,0,1,1,0,4,0,1,0,2.54,-12.7,2,-1.5,0.0,2.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punches,1.0,3:21,201.0,historical
Jake Matthews,Emil Meek,-200.0,170.0,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Welterweight,MALE,3,2,0,0,2.24,0.38,1.3,0.33,0.5,1,2,9,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,0,1,0,3.07,0.46,0.8,1.99,0.38,3,4,28,0,0,1,2,1,4,0,8,Orthodox,180.34,185.42,170,25,31,-2,-1,-2,-7,2,-19,0,-1,-4,0.0,2.54,-6,-0.83,0.5,-1.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Loma Lookboonmee,Angela Hill,155.0,-175.0,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,5.97,0.5,0.1,0.46,0.41,2,7,34,0,0,0,4,2,0,0,6,Orthodox,160.02,162.56,115,0,1,0,6.6,0.65,0.0,1.0,0.16,1,0,3,0,0,1,0,0,0,0,1,Orthodox,154.94,154.94,115,24,35,0,1,1,5,-7,31,0,2,0,5.08,7.62,-11,-0.63,0.1,-0.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Priscila Cachoeira,Shana Dobson,180.0,-220.0,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Women's Flyweight,FEMALE,3,2,0,0,3.56,0.33,0.0,0.4,0.25,0,2,8,0,0,0,0,1,0,0,1,Orthodox,167.64,175.26,125,3,0,0,3.7,0.36,0.0,0.0,0.0,0,3,8,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,31,30,1,0,0,1,1,0,0,1,0,-2.54,10.16,1,-0.14,0.0,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,KO/TKO,Punch,1.0,0:40,40.0,historical
Corey Anderson,Jan Blachowicz,-235.0,195.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Blue,False,Light Heavyweight,MALE,5,0,2,0,3.44,0.49,0.3,1.18,0.52,4,5,36,0,0,1,3,2,2,0,8,Orthodox,187.96,198.12,205,0,4,0,4.45,0.46,0.0,4.98,0.5,4,4,35,0,0,0,7,3,0,0,10,Orthodox,190.5,200.66,205,30,36,0,-2,0,-2,-1,1,0,-1,2,-2.54,-2.54,-6,-1.01,0.3,-3.8,6.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,KO/TKO,Punch,1.0,3:08,188.0,historical
Diego Sanchez,Michel Pereira,135.0,-155.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,2.26,0.44,0.0,1.79,0.4,1,1,4,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,170,1,0,0,2.75,0.38,0.9,1.62,0.25,9,12,83,1,0,3,10,6,2,0,21,Southpaw,177.8,182.88,170,38,26,0,0,-8,-20,11,-79,-1,-5,-2,7.62,2.54,12,-0.49,-0.9,0.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,DQ,No Finish,3.0,3:09,789.0,historical
Montana De La Rosa,Mara Romero Borella,-175.0,155.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Women's Flyweight,FEMALE,3,1,0,0,2.98,0.35,0.3,1.68,0.41,0,1,10,0,0,1,0,0,1,0,2,Orthodox,167.64,175.26,125,1,0,0,2.49,0.31,2.3,2.69,0.33,3,1,9,0,0,0,0,0,3,0,3,Orthodox,170.18,172.72,125,25,33,0,0,-3,-1,0,1,0,0,-2,-2.54,2.54,-8,0.49,-2.0,-1.01,13.0,12.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,3.0,5:00,900.0,historical
Brok Weaver,Kazula Vargas,-270.0,230.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,1.33,0.47,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,155,0,0,0,6.73,0.74,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,170,28,34,-1,0,0,0,-1,3,0,0,0,-10.16,-5.08,-6,-5.4,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,DQ,No Finish,1.0,4:02,242.0,historical
Rogerio Bontorin,Ray Borg,130.0,-150.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Blue,False,Flyweight,MALE,3,0,1,0,1.26,0.49,1.2,3.66,0.5,3,4,30,1,0,0,4,0,2,0,6,Orthodox,162.56,160.02,135,0,2,0,3.23,0.52,1.6,2.72,0.41,2,0,4,0,0,1,0,1,0,0,2,Orthodox,165.1,170.18,125,27,26,0,-1,1,4,-4,26,1,-1,2,-2.54,-10.16,1,-1.97,-0.4,0.94,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,3.0,5:00,900.0,historical
Lando Vannata,Yancy Medeiros,-120.0,100.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,3.99,0.35,0.6,0.14,0.33,3,6,28,0,0,1,1,3,3,0,8,Orthodox,177.8,190.5,155,1,0,2,4.41,0.42,0.5,1.35,0.42,1,4,19,0,0,0,0,1,1,0,2,Orthodox,175.26,180.34,155,27,32,-1,0,2,6,-2,9,0,2,2,2.54,10.16,-5,-0.42,0.1,-1.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Tim Means,Daniel Rodriguez,-345.0,285.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Blue,False,Welterweight,MALE,3,0,0,0,7.2,0.48,0.0,4.0,0.8,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,190.5,170,0,1,0,4.87,0.45,0.2,0.87,0.45,4,8,43,0,0,1,3,5,2,0,11,Orthodox,187.96,190.5,170,35,33,0,-1,-4,-11,8,-43,0,-5,-2,-2.54,0.0,2,2.33,-0.2,3.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,SUB,Guillotine Choke,2.0,3:37,517.0,historical
John Dodson,Nathaniel Wood,130.0,-150.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Bantamweight,MALE,3,0,3,0,4.24,0.42,2.0,2.05,0.66,3,0,7,0,0,0,0,0,3,0,3,Orthodox,167.64,175.26,135,2,0,0,3.28,0.4,0.0,0.8,0.28,3,6,43,2,0,1,3,5,0,0,9,Orthodox,160.02,167.64,135,35,26,2,3,0,-6,6,-36,-2,-5,3,7.62,7.62,9,0.96,2.0,1.25,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,KO/TKO,Punch,3.0,0:16,616.0,historical
Jim Miller,Scott Holtzman,115.0,-135.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Blue,False,Lightweight,MALE,3,0,1,0,4.36,0.5,0.2,2.37,0.58,3,3,26,0,0,0,3,2,1,0,6,Orthodox,175.26,175.26,155,0,2,0,2.78,0.4,2.0,1.77,0.42,7,12,73,0,0,2,6,3,9,0,20,Southpaw,172.72,180.34,155,36,36,0,-1,-4,-14,9,-47,0,-1,-8,2.54,-5.08,0,1.58,-1.8,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Devin Clark,Dequan Townsend,-400.0,325.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Light Heavyweight,MALE,3,2,0,0,1.6,0.43,0.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,205,1,0,0,3.21,0.54,0.2,3.03,0.39,2,4,18,0,0,0,4,0,0,0,4,Orthodox,182.88,190.5,205,29,33,-1,0,-2,-4,2,-12,0,0,0,7.62,10.16,-4,-1.61,-0.2,-3.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,neither,U-DEC,No Finish,3.0,5:00,900.0,historical
Casey Kenney,Merab Dvalishvili,150.0,-170.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Blue,False,Bantamweight,MALE,3,0,2,0,3.75,0.37,0.0,6.75,0.43,2,2,12,0,0,0,2,0,0,0,2,Orthodox,167.64,172.72,135,0,2,0,3.48,0.41,0.8,1.75,0.5,2,0,6,0,0,0,2,0,0,0,2,Southpaw,170.18,172.72,135,28,29,0,0,0,0,-2,6,0,0,0,-2.54,0.0,-1,0.27,-0.8,5.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,3.0,5:00,900.0,historical
Macy Chiasson,Shanna Young,-800.0,550.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,3.79,0.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,3.76,0.55,1.0,0.0,0.0,3,1,8,0,0,0,0,2,1,0,3,Orthodox,180.34,182.88,135,28,28,1,0,-3,-3,1,-8,0,-2,-1,-10.16,-17.78,0,0.03,-1.0,0.0,-1.0,12.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,3.0,5:00,900.0,historical
Mark De La Rosa,Raulian Paiva,205.0,-245.0,2020-02-15,"Rio Rancho, New Mexico, USA", USA,Blue,False,Flyweight,MALE,3,2,0,0,4.59,0.43,0.5,0.46,0.2,0,2,4,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,125,2,0,0,3.05,0.36,0.3,0.77,0.17,2,3,13,0,0,1,0,0,1,0,2,Orthodox,167.64,165.1,135,25,24,0,0,-2,-2,1,-9,0,0,-1,5.08,10.16,1,1.54,0.2,-0.31,14.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,Red,KO/TKO,Punch,2.0,4:42,582.0,historical
Jon Jones,Dominick Reyes,-460.0,365.0,2020-02-08,"Houston, Texas, USA", USA,Red,True,Light Heavyweight,MALE,5,0,6,0,5.03,0.52,0.4,0.39,0.16,6,0,10,0,0,1,1,3,1,0,6,Southpaw,193.04,195.58,205,0,16,0,4.31,0.57,0.5,1.9,0.46,16,1,68,14,0,1,8,5,5,0,19,Orthodox,193.04,213.36,205,32,30,0,-10,-10,-13,1,-58,-14,-2,-4,0.0,-17.78,2,0.72,-0.1,-1.51,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Red,U-DEC,No Finish,5.0,5:00,1500.0,historical
